user_id,name,email,street,city,state,join_date,specialty
user_ec3af7a6,Michael Washington,nicholasperry@example.org,46573 Daniel Roads,New Alexanderland,DC,2021-02-05,Avian
user_c9baa9d8,Anthony Castro,shanehernandez@example.com,535 Rhonda Spring,South Justin,VT,2025-08-04,Feline
user_80d0c845,Justin Savage,james76@example.com,76331 Pamela Manor Suite 962,East Gloriaton,MS,2023-07-21,Senior Pet Care
user_672b9d53,Michael Little,robertjimenez@example.org,03852 Dennis Hollow,Brucemouth,AR,2025-03-29,Canine
user_8efbc984,Bradley Larson,danielwhite@example.org,13860 Anna Course,South Julie,MT,2025-04-25,Senior Pet Care
user_25539aa8,Karen Sherman,smithjoshua@example.net,1739 Victoria Cape,Hamiltonshire,NV,2024-09-27,Canine
user_86caaed8,Dominique Campbell,dalvarez@example.com,6412 Salazar Mission Apt. 859,North Michealville,SC,2024-06-10,Canine
user_e0549777,Rachel Wallace,patelkaren@example.org,194 Emily Neck,Lynchhaven,PA,2022-07-10,Senior Pet Care
user_f44f18c4,Patrick Whitaker,arnoldmathew@example.net,565 Owens Fort,Staceyville,NC,2022-04-06,Senior Pet Care
user_658f7c10,Todd Kennedy,qdennis@example.org,60997 Woods Haven,Ellisstad,PA,2023-08-22,Canine
user_515cc256,Sean Delacruz,christinaholloway@example.com,6115 Salinas Brooks,New Kirsten,WV,2024-08-30,Senior Pet Care
user_d5ea3542,Noah Shea,nancy93@example.org,87487 Bowman Squares,Port Marc,MA,2024-10-03,Avian
user_25a4c3c7,Sarah Davis,adamssandra@example.org,3127 Laura Crest,Trujilloton,WV,2022-09-22,Avian
user_a1ca51d0,Courtney Boyer,morganerin@example.net,3339 Jessica Springs Suite 182,Cliffordview,NH,2025-05-03,All Species
user_dc1ec3e4,Lauren Noble,lisadavis@example.org,76434 Alexander Motorway,Lake Timothy,PA,2023-01-21,All Species
user_740351f3,Renee Hamilton,cindy69@example.org,721 Orr Mews,East Michael,LA,2021-12-21,Canine
user_cab1073c,Christopher Martinez,brandon96@example.com,0024 Brooks Forks Apt. 498,Donnaland,AK,2025-08-05,All Species
user_09672f6f,Kelly Hayes,joshua91@example.org,50219 Rachel Freeway Suite 887,East Stephanie,TX,2023-01-27,Avian
user_c794c706,Ryan Gonzales,ashleyhampton@example.net,2463 Christopher Neck Apt. 639,Andrewland,AZ,2025-02-18,Small Mammal
user_bb3aeb91,Elizabeth Watkins,kiddcatherine@example.net,5111 Andrews Mission Suite 883,Louisfort,OR,2023-07-11,Canine
user_96047c0c,Christina Garcia,drandall@example.org,533 Nelson Path,Lake Betty,KY,2025-04-21,Avian
user_e887c84a,Dr. Gabrielle Clark,travis28@example.com,74759 Hughes Center,East Nathanielmouth,MD,2022-07-12,Canine
user_66409cd4,Catherine Wright,smithpeter@example.org,50651 Tina Highway,Christopherport,GA,2022-01-07,Feline
user_05f7b672,Kimberly Miranda,samanthajohnson@example.net,464 Patricia Plains,Jamesmouth,ND,2022-03-21,Small Mammal
user_85b6a604,Patrick Smith,ambermorrison@example.com,036 Miller Loop Suite 797,Lake Vincentbury,FM,2021-06-08,Senior Pet Care
user_2231e26b,Joseph Smith,cuevasjordan@example.com,438 Amanda Mission Apt. 945,Moyerchester,UT,2021-01-07,Feline
user_740ba05a,Lorraine Adams,lynnrandy@example.com,2905 Savannah Mount,Ruthview,NE,2021-10-10,All Species
user_2aee3cd2,Marilyn Kennedy,ctorres@example.net,605 Eddie Shoal Suite 579,Port Daniel,MT,2021-03-17,Avian
user_be1b5a15,Lisa Meyer,vguerrero@example.com,845 Edwin Vista Apt. 728,Johnnyland,OK,2021-07-24,All Species
user_a5eab004,Julie Williams,mosleychelsea@example.org,6260 Pamela Knoll Apt. 167,Lake Kiaramouth,NC,2024-09-24,All Species
user_1b73e32c,Jason Thornton,williamsalexandria@example.com,5758 Brian Vista Apt. 504,Port Beverlyside,NV,2024-09-20,All Species
user_b87b325d,Thomas George,april45@example.com,63829 Davis Canyon Apt. 667,Royton,VI,2023-12-30,Feline
user_087e1d2e,Stacy Thomas,millertara@example.com,173 Horn Freeway Suite 590,Taylorstad,FM,2024-08-08,Senior Pet Care
user_23a5b504,Shawn Weaver,heidi95@example.net,880 Abbott Cliff Suite 714,Robertton,PR,2021-07-13,Puppy/Kitten Care
user_ebf91445,Jacqueline Hall,leonardkatrina@example.com,091 Brown Avenue,Meyersstad,NH,2021-05-25,Senior Pet Care
user_70275006,Shannon Cohen,lisaandrade@example.com,632 Wilson Tunnel,Lake Diana,AZ,2022-04-30,Small Mammal
user_2eb47c10,Jessica King,dwayne25@example.com,71244 Christopher Tunnel,East Tammy,VA,2023-04-09,Feline
user_fffcd790,Mark Howard,chayes@example.net,3367 Martin Fall,East Lucasville,ND,2025-03-24,Puppy/Kitten Care
user_c3f3dd2a,Sharon Gray,ffernandez@example.org,581 Mason Extension Suite 858,Lake Sarahfurt,WY,2021-10-15,Small Mammal
user_1f9f707e,Andrea Martin,debracurtis@example.com,550 Danny Road,Walterville,MO,2021-07-25,Senior Pet Care
